                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4877,                 5.8357,                 4.3183,                0.00038,                0.08824,                0.00024,                  6e-05,                  4.489,                 5.7288,                 4.1673,                0.00052,                0.00052,                0.00052
                      2,                 4.0338,                 4.9413,                 3.9285,                 0.0003,                0.07353,                0.00023,                  6e-05,                 4.5791,                 5.0656,                  4.263,                0.00103,                0.00103,                0.00103
                      3,                 3.4924,                 3.8564,                 3.3724,                0.00032,                0.07353,                0.00024,                  7e-05,                 4.7904,                 5.2739,                 4.6963,              0.0015095,              0.0015095,              0.0015095
                      4,                 3.1045,                 3.2499,                 3.0031,                0.06607,                0.04412,                0.03339,                0.00904,                 3.2248,                  4.109,                 3.4411,              0.0018303,              0.0018303,              0.0018303
                      5,                 2.9761,                 3.0763,                 2.8704,                0.04073,                0.10294,                0.01657,                0.00442,                 3.0149,                 14.699,                 4.4512,              0.0018303,              0.0018303,              0.0018303
                      6,                 2.8283,                 2.9641,                 2.7867,                0.03224,                0.20588,                0.01797,                0.00504,                 2.8568,                 17.253,                 10.187,              0.0017737,              0.0017737,              0.0017737
                      7,                  2.746,                 2.7287,                 2.6207,                0.08843,                0.39706,                0.05493,                0.01895,                 2.6397,                 6.5383,                 4.3326,              0.0017171,              0.0017171,              0.0017171
                      8,                 2.7692,                 2.6405,                 2.6025,                0.02861,                0.16176,                0.01702,                0.00543,                 2.7564,                 4.1164,                 3.7109,              0.0016606,              0.0016606,              0.0016606
                      9,                 2.5846,                 2.4527,                 2.5621,                0.27941,                0.29412,                0.23001,                0.07075,                 2.6936,                 2.4994,                 2.9983,               0.001604,               0.001604,               0.001604
                     10,                 2.5956,                 2.4132,                 2.4823,                0.41844,                0.36765,                0.33326,                0.10266,                  2.572,                 2.4196,                 2.7493,              0.0015474,              0.0015474,              0.0015474
                     11,                 2.5521,                 2.3008,                 2.4411,                0.35573,                0.33296,                0.25673,                0.08329,                 2.4993,                 2.3239,                 2.6053,              0.0014909,              0.0014909,              0.0014909
                     12,                 2.4633,                 2.1407,                 2.3647,                0.30029,                0.35294,                0.28546,                 0.0793,                 2.4797,                 2.4731,                 2.6288,              0.0014343,              0.0014343,              0.0014343
                     13,                 2.4293,                 2.1088,                 2.3244,                0.50753,                0.48529,                 0.4175,                0.15756,                 2.3104,                 2.2052,                 2.5016,              0.0013777,              0.0013777,              0.0013777
                     14,                 2.4235,                 2.0706,                 2.3938,                0.17037,                0.09673,                0.10881,                0.04423,                 2.5983,                 3.1859,                 2.7334,              0.0013211,              0.0013211,              0.0013211
                     15,                 2.3489,                 1.9295,                 2.2266,                0.69583,                0.47059,                0.53743,                0.20462,                 2.1911,                 1.9855,                 2.4326,              0.0012646,              0.0012646,              0.0012646
                     16,                 2.2905,                 1.7924,                 2.2125,                0.56052,                0.42647,                 0.4948,                0.17447,                 2.2389,                 2.1011,                 2.4106,               0.001208,               0.001208,               0.001208
                     17,                 2.2066,                 1.7129,                 2.1252,                0.53857,                0.57353,                0.53287,                0.22087,                 2.1527,                 2.0205,                 2.3541,              0.0011514,              0.0011514,              0.0011514
