                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4877,                 5.8357,                 4.3183,                0.00038,                0.08824,                0.00024,                  6e-05,                  4.489,                 5.7288,                 4.1673,                0.00052,                0.00052,                0.00052
                      2,                 4.0078,                 4.8996,                 3.9157,                0.00018,                0.04412,                0.00016,                  6e-05,                 4.5785,                 5.0771,                 4.2674,              0.0010367,              0.0010367,              0.0010367
                      3,                 3.4865,                 3.9192,                 3.3709,                0.00052,                0.04412,                 0.0003,                  6e-05,                  4.802,                 5.3201,                 4.5953,              0.0015296,              0.0015296,              0.0015296
                      4,                 3.1156,                 3.2763,                 2.9596,                0.05622,                0.16176,                0.04803,                0.01259,                 3.1022,                 3.8877,                 3.5021,               0.001868,               0.001868,               0.001868
                      5,                 2.9775,                 2.9832,                 2.8474,                0.11882,                0.05882,                0.03464,                0.00975,                 3.3967,                 3.8361,                 3.5496,               0.001868,               0.001868,               0.001868
                      6,                 2.9117,                 2.9282,                 2.8061,                0.01833,                0.19118,                0.00905,                0.00232,                 3.1305,                 36.877,                 5.8992,               0.001824,               0.001824,               0.001824
                      7,                  2.836,                 2.6431,                 2.6717,                0.11352,                0.05882,                0.02512,                0.00498,                 3.1662,                 6.6757,                 4.9042,                0.00178,                0.00178,                0.00178
                      8,                 2.7761,                 2.5355,                 2.6103,                0.25827,                0.23529,                0.18654,                0.05271,                 2.8056,                 2.5739,                 2.8972,               0.001736,               0.001736,               0.001736
                      9,                 2.5769,                 2.3304,                 2.5644,                0.41579,                0.29412,                0.29341,                0.08682,                  2.589,                  2.669,                 2.7161,               0.001692,               0.001692,               0.001692
                     10,                 2.5884,                 2.2445,                 2.4917,                0.43962,                0.33824,                0.35909,                0.12898,                  2.432,                 2.3233,                 2.6749,               0.001648,               0.001648,               0.001648
                     11,                 2.5016,                  2.113,                 2.4238,                0.48866,                0.42167,                0.42059,                0.14521,                 2.3063,                 2.1865,                  2.533,               0.001604,               0.001604,               0.001604
                     12,                 2.4193,                 1.9616,                 2.3026,                0.41308,                0.48529,                0.42479,                 0.1325,                 2.3971,                 2.0753,                 2.5267,                0.00156,                0.00156,                0.00156
                     13,                 2.3769,                 1.9181,                 2.2778,                0.63958,                0.49589,                0.57649,                 0.2362,                 2.1906,                 1.9053,                 2.4528,               0.001516,               0.001516,               0.001516
                     14,                 2.2624,                 1.9094,                  2.288,                0.56111,                0.48529,                0.46494,                0.17887,                 2.1775,                 2.0697,                 2.4163,               0.001472,               0.001472,               0.001472
                     15,                  2.287,                 1.7446,                 2.1934,                0.78721,                0.55882,                   0.61,                0.26632,                 2.0334,                 1.7931,                 2.2991,               0.001428,               0.001428,               0.001428
                     16,                 2.1837,                 1.6968,                 2.1493,                0.57784,                0.58378,                0.47444,                0.19643,                 2.1117,                 1.8816,                  2.268,               0.001384,               0.001384,               0.001384
                     17,                 2.1851,                 1.6416,                 2.1162,                0.60534,                0.60294,                0.60033,                0.25174,                 2.0394,                  1.784,                 2.2679,                0.00134,                0.00134,                0.00134
                     18,                 2.0918,                 1.6722,                 2.0461,                0.80044,                0.60294,                0.66868,                0.26636,                 2.0565,                 1.7971,                 2.2743,               0.001296,               0.001296,               0.001296
                     19,                 2.1162,                 1.6245,                  2.108,                0.82335,                0.47989,                0.62964,                0.26819,                 2.0276,                 1.9411,                 2.2142,               0.001252,               0.001252,               0.001252
                     20,                 2.1066,                 1.5791,                 2.0447,                0.76308,                0.66312,                0.68473,                0.31098,                  1.928,                 1.6745,                 2.1698,               0.001208,               0.001208,               0.001208
                     21,                 2.0183,                 1.4897,                 1.9842,                0.75714,                    0.5,                0.60387,                0.25548,                 1.9833,                 1.8227,                 2.1948,               0.001164,               0.001164,               0.001164
                     22,                 2.0101,                 1.4844,                 1.9683,                 0.6832,                0.61765,                0.66205,                0.31343,                 1.9064,                 1.5604,                 2.1172,                0.00112,                0.00112,                0.00112
                     23,                 1.9374,                 1.4623,                 1.9689,                0.94355,                0.51471,                0.68113,                0.29073,                 1.9509,                 1.6295,                 2.1779,               0.001076,               0.001076,               0.001076
                     24,                   1.94,                 1.4564,                 1.9398,                0.77354,                0.61765,                0.72028,                 0.3395,                 1.8467,                 1.4234,                  2.059,               0.001032,               0.001032,               0.001032
                     25,                 1.9636,                  1.434,                 1.9341,                0.60665,                0.64706,                0.58527,                0.27828,                 1.8869,                 1.5533,                 2.0788,               0.000988,               0.000988,               0.000988
                     26,                 1.9334,                 1.3969,                 1.8857,                0.73134,                0.61765,                0.69596,                0.31481,                  1.863,                  1.534,                 2.1141,               0.000944,               0.000944,               0.000944
                     27,                 1.8682,                 1.4235,                 1.8933,                 0.8276,                0.70588,                0.75032,                0.33594,                  1.956,                 1.4375,                 2.1386,                 0.0009,                 0.0009,                 0.0009
                     28,                 1.8299,                 1.3181,                 1.8308,                0.72182,                0.64871,                0.70954,                0.34864,                 1.8454,                 1.5037,                 2.0685,               0.000856,               0.000856,               0.000856
                     29,                 1.8363,                 1.3545,                 1.8485,                0.71023,                0.76471,                 0.7582,                0.35663,                 1.8716,                   1.42,                  2.086,               0.000812,               0.000812,               0.000812
                     30,                  1.782,                 1.3268,                 1.8205,                0.84431,                0.70588,                0.77462,                0.36887,                 1.8383,                 1.3476,                  2.054,               0.000768,               0.000768,               0.000768
                     31,                 1.7853,                 1.3147,                 1.8131,                0.83527,                0.67118,                0.76508,                0.36972,                 1.8079,                 1.4401,                 2.0271,               0.000724,               0.000724,               0.000724
                     32,                 1.7704,                 1.2666,                 1.7985,                0.75237,                0.69118,                0.73699,                0.37803,                 1.8505,                 1.4106,                 2.0611,                0.00068,                0.00068,                0.00068
                     33,                 1.7958,                 1.2915,                 1.7714,                0.86728,                0.57353,                0.72931,                0.37075,                 1.8223,                 1.3714,                   2.06,               0.000636,               0.000636,               0.000636
                     34,                 1.7309,                 1.2766,                 1.7661,                0.77921,                0.67647,                0.75733,                0.38851,                 1.7196,                 1.3517,                 1.9981,               0.000592,               0.000592,               0.000592
                     35,                   1.79,                 1.2115,                 1.7793,                0.79137,                0.76471,                0.78935,                0.38658,                 1.8364,                 1.3576,                  2.045,               0.000548,               0.000548,               0.000548
